id,query
1,Suggest a quick vegan breakfast recipe
2,I have chicken and rice. what can I cook?
3,Give me a dessert recipe with chocolate 
4,Italian pasta dish with fresh herbs
5,Spicy Thai curry recipe
6,Authentic Mexican street tacos
7,Vegan dessert recipe without nuts
8,Gluten-free breakfast ideas for celiac
9,Keto-friendly dinner under 10g carbs
10,What can I make with chicken, rice, and broccoli?
11,Recipe using eggs, spinach, and cheese
12,Quick lunch for work that doesn't need heating
13,Easy dinner for two people
14,Healthy snack for kids after school
15,Recipe under 30 minutes
16,Beginner-friendly baking recipe
17,Something tasty
18,I'm hungry 